BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
37072.0,105,9,10752.59,9.0,10752.59,,,1
37074.0,104,1,7029.0,1.0,7029.0,,,1
37081.0,97,46,13037.48,23.0,6518.740000000001,44.0,68.36636442141624,1
37093.0,111,24,535.97,24.0,535.97,,,1
37100.0,100,8,874.37,8.0,874.37,,,1
37103.0,99,6,1161.8200000000002,6.0,1161.8200000000002,,,1
37109.0,108,5,233.3,5.0,233.3,,,1
37119.0,112,15,236.63,15.0,236.63,,,1
37129.0,105,1,1056.66,1.0,1056.66,,,1
37135.0,108,3,367.4,3.0,367.4,,,1
37145.0,101,21,456.03,21.0,456.03,,,1
37150.0,99,3,110.36,3.0,110.36,,,1
37153.0,105,8,247.9,8.0,247.9,,,1
37159.0,107,5,824.47,5.0,824.47,,,1
37163.0,113,9,171.68,9.0,171.68,,,1
37171.0,100,3,96.71,3.0,96.71,,,1
37177.0,101,6,154.32,6.0,154.32,,,1
37180.0,104,4,18701.4,4.0,18701.4,,,1
37187.0,112,2,196.35999999999999,2.0,196.35999999999999,,,1
37192.0,100,22,4050.98,22.0,4050.98,,,1
37194.0,100,8,272.29,8.0,272.29,,,1
37195.0,100,32,498.5,32.0,498.5,,,1
37222.0,106,2,-129.29000000000002,2.0,-129.29000000000002,,,1
37254.0,107,25,780.29,25.0,780.29,,,1
37270.0,104,9,179.19,9.0,179.19,,,1
37277.0,101,13,1012.4200000000001,13.0,1012.4200000000001,,,1
37281.0,104,31,1628.3,31.0,1628.3,,,1
37311.0,107,3,41492.25,3.0,41492.25,,,1
37320.0,108,3,409.75,3.0,409.75,,,1
37324.0,101,3,1167.58,3.0,1167.58,,,1
37328.0,106,6,1845.72,6.0,1845.72,,,1
37329.0,113,1,987.0,1.0,987.0,,,1
37330.0,100,2,760.72,2.0,760.72,,,1
37344.0,105,1,-204.2,1.0,-204.2,,,1
37346.0,100,1,4894.24,1.0,4894.24,,,1
